link,email,first_name,last_name,phone,address,zip,city,country_code,tags,token
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,BrigetteCourville@web.de,Brigette,Courville,4592853836,Ambulancevej 34,8000,Aarhus,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,VicentaLamon@web.de,Vicenta,Lamon,45926028751,Amtoftvej 16,8240,Risskov,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,NedraRanallo@web.de,Nedra,Ranallo,45921856603,Anders Nielsens Vej 17,9400,Norresundby,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,FelicidadRiva@web.de,Felicidad,Riva,45921404865,Ane Dams Gade 54,9400,Norresundby,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,LisetteKaemmerer@web.de,Lisette,Kaemmerer,45929307057,Ane Katrines Vej 34,2000,Frederiksberg,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,ChaunceyPigao@web.de,Chauncey,Pigao,45921368049,Anemonevej 12,9400,Norresundby,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,GeorgettaRuzbasan@web.de,Georgetta,Ruzbasan,45926871853,Anemonevej 21,9400,Norresundby,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,RooseveltSpriggle@web.de,Roosevelt,Spriggle,45925875526,Anemonevej 27,9400,Norresundby,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,DimpleZelle@web.de,Dimple,Zelle,45926477254,Anemonevej 26b,9400,Norresundby,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,DomingoWomble@web.de,Domingo,Womble,45929894883,Anker Engelunds Vej 4,9200,Aalborg,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,NathanielEndow@web.de,Nathaniel,Endow,45929098925,Anker Engelunds Vej 10,9200,Aalborg,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,GlennKately@web.de,Glenn,Kately,45929668303,Anker Heegaards Gade 6,1572,Copenhagen,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,KarmenTelle@web.de,Karmen,Telle,45921663889,Ankersgade 16,8000,Aarhus,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
https://www.woodwood.com/en/529/yeezy-foam-runner-stone-sage-raffle,AngelesBranaugh@web.de,Angeles,Branaugh,45925040164,Ankersgade 11,8000,Aarhus,DK,101770,4471020e-81f0638-c2d1963-04b2c92-15e0283-a85
